,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Platform_grouped,Publisher_grouped
0,1.0,Wii Sports,Wii,2006-01-01,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,nintendo_console,Nintendo
1,2.0,Super Mario Bros.,NES,1985-01-01,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,nintendo_console,Nintendo
2,3.0,Mario Kart Wii,Wii,2008-01-01,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,nintendo_console,Nintendo
3,4.0,Wii Sports Resort,Wii,2009-01-01,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,nintendo_console,Nintendo
4,5.0,Pokemon Red/Pokemon Blue,GB,1996-01-01,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,nintendo_handheld,Nintendo
5,6.0,Tetris,GB,1989-01-01,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,nintendo_handheld,Nintendo
6,7.0,New Super Mario Bros.,DS,2006-01-01,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,nintendo_handheld,Nintendo
7,8.0,Wii Play,Wii,2006-01-01,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,nintendo_console,Nintendo
8,9.0,New Super Mario Bros. Wii,Wii,2009-01-01,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,nintendo_console,Nintendo
9,10.0,Duck Hunt,NES,1984-01-01,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,nintendo_console,Nintendo
10,11.0,Nintendogs,DS,2005-01-01,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,nintendo_handheld,Nintendo
11,12.0,Mario Kart DS,DS,2005-01-01,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,nintendo_handheld,Nintendo
12,13.0,Pokemon Gold/Pokemon Silver,GB,1999-01-01,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,nintendo_handheld,Nintendo
13,14.0,Wii Fit,Wii,2007-01-01,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,nintendo_console,Nintendo
14,15.0,Wii Fit Plus,Wii,2009-01-01,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,nintendo_console,Nintendo
15,16.0,Kinect Adventures!,X360,2010-01-01,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,xbox,other
16,17.0,Grand Theft Auto V,PS3,2013-01-01,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,playstation,other
17,18.0,Grand Theft Auto: San Andreas,PS2,2004-01-01,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,playstation,other
18,19.0,Super Mario World,SNES,1990-01-01,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,nintendo_console,Nintendo
